epoch,step,train/loss,train/loss_s,train/loss_a,train/loss_rec,train/s_tea_std,train/s_stu_std,train/a_tea_std,train/a_stu_std,val/loss,val/loss_s,val/loss_a,val/s_tea_std,lr,epoch_s
0,1240,0.15873607833899797,0.13315028342748841,0.051171589779081726,0.0,0.6536944180727005,0.6586208049808779,0.2619487826502131,0.2642660048820319,0.13883422408252954,0.12333458196371794,0.03099928400479257,0.7710015848278999,0.0005987653236410771,438.1
1,2480,0.17675017848490707,0.16514358645485294,0.023213184543795163,0.0,0.8771024382883502,0.8776599746077292,0.2614104863616728,0.2622721215770129,0.21497171837836504,0.20605461299419403,0.01783420966239646,0.9123277552425861,0.0005912021092550808,434.8
2,3720,0.21337653324007988,0.20139721098446076,0.023958645447067196,0.0,0.9679499368994466,0.9684892425614019,0.2363145821397343,0.2377436164045526,0.2269524158909917,0.21214072592556477,0.029623379348777235,0.9953826628625393,0.0005769404044532857,437.1
3,4960,0.2263819906139566,0.2095258946260137,0.033712192345410584,0.0,1.0304757245125309,1.0308294475078583,0.2652340845715615,0.26611571269890955,0.24986351374536753,0.2292766347527504,0.04117375332862139,1.0488235652446747,0.0005563459485982177,446.8
4,6200,0.23699841832201327,0.21814164133562194,0.03771355430024766,0.0,1.0844576860627821,1.0847303044411445,0.2913147558848704,0.29163655874229244,0.2561154570430517,0.23179222270846367,0.04864646797068417,1.0995840802788734,0.0005299468835396697,446.4
5,7440,0.23723037186409196,0.21860933068298524,0.037242083008130714,0.0,1.135846548311172,1.1361494734402626,0.30601762735074567,0.3060025141364144,0.26087874732911587,0.2343889232724905,0.05297964904457331,1.1557067781686783,0.0004984202094932635,442.6
6,8680,0.24040281644030925,0.2228142728608462,0.03517708741729298,0.0,1.1880669637072472,1.1882705283741797,0.3147582343268779,0.3149087744855112,0.2764567732810974,0.2456394899636507,0.06163456733338535,1.1997111067175865,0.0004625744234675039,434.9
7,9920,0.24747721902545422,0.23088243949797846,0.0331895598555885,0.0,1.222913821954881,1.2227571303805997,0.32386728152632716,0.3239373208534333,0.28467128425836563,0.25122414249926805,0.06689428770914674,1.2293841689825058,0.00042332878547459113,436.3
8,11160,0.24948121026879358,0.2343747503094135,0.030212920400944927,0.0,1.2473872144376077,1.2470522727697126,0.3292527302138267,0.3293226440827693,0.2795741520822048,0.2431316701695323,0.07288496824912727,1.2491306439042091,0.00038168974424002383,434.6
9,12400,0.23952793213388612,0.22629753184174337,0.02646080125423689,0.0,1.264138112048949,1.2637064982806483,0.32798809226482145,0.3279908748163331,0.27755479607731104,0.24011152237653732,0.07488654367625713,1.2628878206014633,0.0003387251269702048,447.6
10,13640,0.22735254706874972,0.2157271567251413,0.02325078182433161,0.0,1.2760381296757728,1.2757162254664205,0.32530450700752195,0.325317216352109,0.25576266925781965,0.21935133077204227,0.07282267836853862,1.2775587439537048,0.00029553675507775824,453.9
11,14880,0.2011571957459373,0.191292968368338,0.019728455175795863,0.0,1.2831401428868694,1.2827081165967449,0.3177770332703667,0.317956120496796,0.23962383065372705,0.20361549593508244,0.07201667362824082,1.2792567983269691,0.00025323218813033286,453.2
12,16120,0.17101292596949685,0.16258684309019197,0.016852166134894136,0.0,1.2852039853411337,1.2846080957881867,0.3111850293413285,0.3113651765690696,0.19966923911124468,0.16677828691899776,0.06578190787695348,1.275610864162445,0.00021289632064524415,453.0
13,17360,0.12732110181522946,0.12049587389995013,0.013650456295468875,0.0,1.2844602096465325,1.284021784509382,0.2974145243244786,0.29774610719853833,0.12813323270529509,0.10095470678061247,0.05435705278068781,1.2894337624311447,0.00017556356012606055,451.6
14,18600,0.04892293055872283,0.04431456373328523,0.009216733711711582,0.0,1.29763669092809,1.2975432606474047,0.25679595675920286,0.2571011066677109,0.044957621837966144,0.025705519306939095,0.03850420587696135,1.313981607556343,0.00014219129983138212,451.1
15,19840,0.020047408047943346,0.016517355649792138,0.007060104843995143,0.0,1.3323581367731094,1.332407240136977,0.23839542155544605,0.2396339249466696,0.04364952398464084,0.02366827509831637,0.039962497423402965,1.3423065766692162,0.000113635366562817,443.0
16,21080,0.01663047913386817,0.013278479615391622,0.0067039990316956274,0.0,1.349221437015841,1.3491174197966052,0.23823455527665155,0.2393930622166203,0.04813198035117239,0.027936192462220788,0.0403915757779032,1.3531792759895325,9.062807311010255e-05,442.3
17,22320,0.014107841914219241,0.01091531561499822,0.006385052545491847,0.0,1.3584539700900355,1.3583759078095037,0.23663405867353562,0.237718461706273,0.04412136576138437,0.024427982338238508,0.03938676684629172,1.3601812198758125,7.37594381952386e-05,448.5
18,23560,0.013390070548085796,0.010417094907437962,0.005945951149107949,0.0,1.3622105515772296,1.3620708970292923,0.23398145019046723,0.2349734463759007,0.040942929103039205,0.020981897454475984,0.03992206300608814,1.3629998564720154,6.346205552746759e-05,450.1
19,24800,0.01217480883745837,0.0093081867652795,0.005733244103424612,0.0,1.3653227726297994,1.365220960013328,0.2325096340549569,0.23350460886234237,0.039515743497759104,0.019479444046737626,0.040072598261758685,1.3651004284620285,5.9999999999999995e-05,450.7
