epoch,step,train/loss,train/loss_s,train/loss_a,train/loss_rec,train/s_tea_std,train/s_stu_std,train/a_tea_std,train/a_stu_std,val/loss,val/loss_s,val/loss_a,val/s_tea_std,lr,epoch_s
0,620,0.20415705817361032,0.17182482077229408,0.06466447510080592,0.0,0.6361217337269937,0.6414475982227633,0.18482245256102856,0.18463769775004157,0.10218074405565858,0.09465820994228125,0.015045068663312122,0.6624409183859825,0.0005998645229408355,218.9
1,1240,0.10254997150792229,0.09164765443532698,0.021804634709992717,0.0,0.813871957698176,0.8190338918278294,0.24751327033004453,0.2517622858045563,0.11488111456856132,0.1006610025651753,0.028440221794880927,0.8357081450521946,0.0005948640434510083,215.9
2,1860,0.1336042600413484,0.11953497972459562,0.028138561252384415,0.0,0.8760220432473768,0.8764489990088248,0.2782520246842215,0.2810545781927724,0.15944971330463886,0.1462259143590927,0.02644759911345318,0.8790765590965748,0.0005827834150727983,216.3
3,2480,0.1714558857102548,0.1611907667931049,0.02053023790339789,0.0,0.9170837996467467,0.9172991662256179,0.23438340084206674,0.2338620022900643,0.18057834450155497,0.1707827541977167,0.01959118276135996,0.9185149259865284,0.0005639455681914255,216.1
4,3100,0.17419237258934206,0.16330512093920863,0.02177450393717135,0.0,0.9417716570438878,0.9417865210963834,0.23111431889476314,0.23273926358069144,0.17293277010321617,0.16007689200341702,0.025711755151860416,0.9407983496785164,0.0005388540621383761,216.1
5,3720,0.16891898368635486,0.15490783931266877,0.0280222890748372,0.0,0.9569874224162871,0.9573511614914864,0.25084510777265795,0.25210720726078556,0.1725705647841096,0.15636361856013536,0.03241389349568635,0.9568811990320683,0.0005081796244173618,216.0
6,4340,0.16806346565004318,0.15090093391556894,0.03432506407881456,0.0,0.9746674099276142,0.9750956048888545,0.2707830491565889,0.27162633889144466,0.1762010008096695,0.15671639051288366,0.03896922222338617,0.9752302281558514,0.0004727422213148852,216.0
7,4960,0.16839603683160198,0.14886621522807306,0.03905964332121995,0.0,0.9917949905318598,0.99214100962685,0.28643689559352015,0.28706479774367427,0.17540890909731388,0.15268663968890905,0.04544454184360802,0.9891591556370258,0.00043348913917044037,216.1
8,5580,0.16411608217223997,0.14216061987944187,0.04391092552893585,0.0,1.0060530606777438,1.0065052691967256,0.30625050264981485,0.3067161053419113,0.17184322979301214,0.14472126308828592,0.054243933176621795,1.0035508461296558,0.0003914696622216646,216.4
9,6200,0.1597439436902923,0.13583671252333349,0.04781446410643478,0.0,1.0163024448579359,1.016574208005782,0.32783390826755954,0.3284974775968059,0.17527036648243666,0.1430903421714902,0.06436004606075585,1.010048232972622,0.000347807023917436,216.1
10,6820,0.1564919296531908,0.1309608351679579,0.05106219056272699,0.0,1.0245519734198048,1.0247743900745145,0.34766297527859286,0.34827887685068193,0.17501848936080933,0.13787099719047546,0.07429498387500644,1.017715945839882,0.00030366838147557064,216.3
11,7440,0.1547893782777171,0.12828848929174486,0.053001778897258545,0.0,1.0300597267766152,1.0300848287920799,0.36533776752410396,0.36565384821545693,0.1726614534854889,0.1308649219572544,0.08359306631609797,1.0229130685329437,0.00026023361630295107,218.5
12,8060,0.1508408019379262,0.12411685388895773,0.053447897233549625,0.0,1.035461619592482,1.035443555155108,0.37848223914061824,0.3787165254354477,0.17544437106698751,0.12953797075897455,0.0918128015473485,1.0299903824925423,0.00021866379428208405,219.5
13,8680,0.1456957258284092,0.11958886401787881,0.052213724594443074,0.0,1.0394914661684345,1.0393729117608839,0.387508779139288,0.3876128212098152,0.17052587773650885,0.12195049691945314,0.0971507616341114,1.0316463857889175,0.00018007012902028515,220.1
14,9300,0.13735119568244103,0.1123272335096713,0.05004792593179211,0.0,1.0387177250077648,1.0384446547877404,0.3918092270531962,0.3918210144485197,0.1635705977678299,0.11276162229478359,0.10161794861778617,1.0273072198033333,0.00014548427771285242,220.6
15,9920,0.13077845298234494,0.10690259962312637,0.04775170801027167,0.0,1.0354367061968772,1.0351576693596378,0.3951229992893434,0.39527007077009446,0.16162702348083258,0.10786199476569891,0.10753005463629961,1.0226650424301624,0.0001158307636491593,221.2
16,10540,0.12197288748237395,0.09927042789997594,0.045404918173388126,0.0,1.0296620665058014,1.0294286501023078,0.39599816198310545,0.39589282586689917,0.15476331394165754,0.10054129594936967,0.10844403086230159,1.0182095393538475,9.190226254274974e-05,221.7
17,11160,0.1116874214021429,0.09041717557176467,0.04254049000840995,0.0,1.0190189630754531,1.0184262212245696,0.39283164095494055,0.39260084037819215,0.1432463303208351,0.09012960689142346,0.10623344499617815,1.0027660019695759,7.433841331290386e-05,222.1
18,11780,0.10023548717219984,0.08029972126166667,0.03987153114210213,0.0,1.0041169995261776,1.0036731903591463,0.3875703852984213,0.38739393108314085,0.13307769084349275,0.08028509747236967,0.10558518674224615,0.9936017505824566,6.360871973212415e-05,222.5
19,12400,0.09410156718184871,0.07500371601312392,0.03819570189281817,0.0,0.9967586313524553,0.9964458682844716,0.3855192489681705,0.3854430979298007,0.12888590339571238,0.07570937322452664,0.10635305987671018,0.9886261187493801,5.9999999999999995e-05,219.7
